Name,ICAO,IATA,CallSign,Country,Founded,Destinations,Fleet Size
VLM Airlines,VLM,VG,RUBENS,Belgium,1992,8,11
Binter Canarias,IBB,NT,BINTER,Spain,1989,13,8
City Airways,GTA,E8,CITY AIR,,2011,3,2
Elite Airways,MNU,,MAINER,,,,6
Ghadames Air Transport,GHT,G6,GHT,,2004,,1
MHS Aviation,,M2,,,1983,,
Opera Jet,OPJ,,OPERA JET,,2007,,4
SkyJet,MSJ,M8,MAGNUM AIR,,2005,3,1
Thai AirAsia X,TAX,XJ,EXPRESS WING,,2014,5,4
Ellinair,ELB,EL,ELLINAIR HELLAS,,,26,5
L-3 Flight International Aviation,RTD,,RIPTIDE,,,,18
Miami Air International,BSK,LL,BISCAYNE,United States,1990,,6
Orange Air,ORN,,ORANGE JET,,2011,,2
Régional Compagnie Aérienne Européenne,RAE,YS,REGIONAL EUROPE,France,2001,38,44
Skyjet Airlines,SJU,UQ,SKYJET,,2003,9,2
Thai Airways,THA,TG,THAI,,1960,78,82
Air Pacific,FJI,FJ,PACIFIC,Fiji,,17,6
Annushka (airline),,,,,1993,,16
City Express,OUL,OU,CITY EXPRESS,,,,7
Elrom Airways,ELR,,ELROM,,1990,1,2
Islena De Inversiones,ISV,WC,ISLENA,Honduras,,4,5
La Compagnie,DJT,B0,DREAMJET,,2013,3,2
MIAT Mongolian Airlines,MGL,OM,MONGOL AIR,Mongolia,1954,8,5
Orange Aviation,ORE,,ORANGE AVIATION,,1974,,10
Regional Express Airlines,RXA,ZL,REX,Australia,2002,54,49
City Star Airlines,ISL,X9,ISLANDIA,,2003,7,0
Elysian Airlines,GIE,E4,,,,9,4
Isles of Scilly Skybus,IOS,5Y,SCILLONIA,United Kingdom,1984,4,8
La Costeña (airline),NIS,,LACOSTENA,,,,13
MIBA Aviation,,,,,1994,,1
Regional Pacific Airlines,,QT,,,2001,4,2
Skylan Airways,SKA,,SKYLAN,,,,1
Thai Airways International,THA,TG,THAI,Thailand,1960,71,91
Air Panama,PST,,TURISMO REGIONAL,,1980,24,20
Ansett New Zealand,NZA,ZQ,ANZA,,,,
Bismillah Airlines,BML,5Z,BISMILLAH,Bangladesh,1998,,18
Israir Airlines,ISR,6H,ISRAIR,Israel,1989,19,5
LACSA,LRC,LR,LACSA,Costa Rica,,35,19
Mid Airlines,NYL,7Y,NILE,Sudan,2002,,2
Orbest,OBS,,ORBEST,,2007,51,4
Thai Lion Air,TLM,SL,MENTARI,,2013,8,16
Afriqiyah Airways,AAW,8U,AFRIQIYAH,Libyan Arab Jamahiriya,2001,19,13
Blink (airline),BKK,,BLINKAIR,,2007,600,9
Glenorchy Air,,,,,1992,,4
LADE,LDE,5U,LADE,Argentina,,30,
Mid Airlines (Zimbabwe),MDZ,,MIDANES,,2001,,
Skyline (Sweden),,OX,,,,7,3
Thai Regional Airlines,TRB,RW,THAI REGIONAL,,2011,,
Volaris,VOI,Y4,VOLARIS,,2004,68,55
Antonov Airlines,ADB,,ANTONOV BUREAU,,1989,5,22
Blue Air,BMS,0B,BLUE MESSENGER,Romania,2004,34,15
GLO Airlines,,,,,2013,4,3
Italy First,IFS,IF,RIVIERA,,,,2
Mid East Jet,XAH,,,,,,11
Reliant Air,RLI,,RELIANT,,1988,3,8
VolaSalerno,ORI,OI,,,,8,1
Air Peace,,,,,2013,,7
Antrak Air,ABV,O4,ANTRAK,Ghana,,5,4
Blue Bird Aviation,BLB,,BLUEBIRD SUDAN,,1989,,5
CityJet,BCY,WX,CITY-IRELAND,Ireland,1992,18,21
Mid Express Tchad,,,,,,,1
Renaissance Air,,,,,2008,,6
SkyLink Arabia,,,,,,2,3
Thai Smile,THD,WE,THAI SMILE,,2011,12,14
Volga-Dnepr Airlines,VDA,VI,VOLGA DNIPR,Russian Federation,1990,,24
Agefreco Air,,,,,1988,,
Air Pegasus,PPL,OP,,,2014,7,2
Blue Dart Aviation,BDA,BZ,BLUE DART,India,1995,8,5
Emirates (airline),UAE,EK,EMIRATES,United Arab Emirates,1985,164,222
Global Air (Mexico),DMJ,,GLOBAL AIR,,1990,,4
Mid Pacific Air,MPA,HO,MID PAC,,,,
Orca Airways,ORK,,ORCA TAXI,,2005,6,20
SkyLink Aviation,SKK,,SKYLINK,,,,
Vologda Aviation Enterprise,VGV,,VOLOGDA AIR,,1931,6,12
Blue Islands,BCI,SI,BLUE ISLAND,United Kingdom,1999,7,5
CityLine Hungary,CNB,ZM,CITYHUN,,2003,,3
Global Aviation,GBB,QG,GLOBE,,2001,,18
IZair,IZM,H9,IZMIR,Turkey,,4,7
Orenair,ORB,R2,ORENBURG,Russian Federation,1992,12,29
Republic Airlines,RPA,YX,BRICKYARD,United States,1998,79,151
SkyLink Express,SLQ,,SKYLINK,,1994,30,19
Thai Vietjet Air,TVJ,V9,THAIVIET JET,,2014,2,1
Volotea,VOE,V7,VOLOTEA,,,52,20
Agni Air,,AG,,,2006,8,3
Air People International,APG,3D,AIR PEOPLE,Thailand,1986,,
Civair,CIW,,CIVFLIGHT,,1989,,12
Empire Airlines,CFS,EM,EMPIRE AIR,United States,1977,,51
Global Aviation and Services Group,GAK,,AVIAGROUP,,2003,3,4
Izhavia,IZA,I8,IZHAVIA,,,5,18
Mid-Atlantic Freight,MDC,,NIGHT SHIP,,1990,,8
Orenburzhye,ORG,O7,ORENBURZHIE,,2013,8,50
Skymark Airlines,SKY,BC,SKYMARK,Japan,1996,11,27
ThaiJet,THJ,AO,THAI JET,,,,
Vostok Aviation Company,VTK,,VOSTOK,,1945,,13
Air Perú,,,,,2006,2,1
Blue Panorama Airlines,BPA,BV,BLUE PANORAMA,Italy,1998,39,10
Republic Express Airlines,RPH,RH,PUBLIC EXPRESS,Indonesia,2001,6,3
Skymaster Airlines,SKC,,SKYMASTER AIR,,1995,,8
Thomas Cook Airlines,TCX,MT,KESTREL,United Kingdom,2003,95,31
Voyageur Airways,VAL,VC,VOYAGEUR,,1968,,21
Aigle Azur,AAF,ZI,AIGLE AZUR,France,1946,26,10
Air Philippines,GAP,2P,ORIENT PACIFIC,Philippines,,26,19
Empire Airways,JKR,,JOKER,,2004,,2
Global Supply Systems,GSS,XH,JET LIFT,United Kingdom,2001,,3
Jagson Airlines,JGN,JA,JAGSON,,1991,9,5
Laker Airways (Bahamas),,,,,1992,,2
Middle East Airlines,MEA,ME,CEDAR JET,Lebanon,1945,37,17
Republicair,RBC,,REPUBLICAIR,,2005,,11
Skynet (airline),,,,,2008,14,5
Thomas Cook Airlines Belgium,TCW,HQ,THOMAS COOK,Belgium,2001,68,6
Air,EAT,,TRANS EUROPE,,1990,,10
APSA Colombia,ABO,,AEROEXPRESO,,1978,,2
Blue Sky Aviation Services,SBK,,MAWINGU,,1996,,3
Click Airways,CGK,4C,CLICK AIR,United Arab Emirates,2004,5,4
Globe Jet,GJA,,,,,,5
J-Air,JLJ,XM,J-AIR,Japan,1996,17,24
LAM Mozambique Airlines,LAM,TM,MOZAMBIQUE,Mozambique,,16,7
Rhein-Neckar Air,,,SNOWCAP,,2013,2,3
Thomas Cook Airlines Scandinavia,VKG,DK,VIKING,Denmark,2008,38,12
Vueling,VLG,VY,VUELING,,2004,155,101
Apsara International Air,AQQ,IP,APSARA AIR,,2013,1,1
Blue Wing Airlines,BWI,,BLUE TAIL,,2002,,9
Endeavor Air,FLG,,FLAGSHIP,,1985,,116
Midlands Air Ambulance,,,,,1990,,
Orient Thai Airlines,OEA,OX,ORIENT THAI,Thailand,1995,4,12
Rhodesia United Air Carriers,,,,,1957,,14
Thomson Airways,TOM,BY,TOMSON,United Kingdom,1962,96,60
Vueling Airlines,VLG,VY,VUELING,Spain,,51,47
Air 26,DCD,,DUCARD,,2006,7,3
Club 328,SDJ,,SPACEJET,,2005,,
Enerjet,ENJ,EG,ENERJET AIR,,2006,,3
Globus (airline),GLP,GH,GLOBUS,,2007,,13
LAN Airlines,LAN,LA,LAN CHILE,Chile,1929,66,150
Oriental Air Bridge,ORC,OC,ORIENTAL BRIDGE,,1961,5,2
Thunder Airlines,THU,,THUNDER AIR,,1994,6,14
Air Pullmantur,PLM,EB,PULLMANTUR,Spain,2003,12,4
Arab Wings,AWS,,ARAB WINGS,,1975,,
Blue1,BLF,KF,BLUEFINN,Finland,1987,28,5
LAN Argentina,DSM,4M,LANAR,Argentina,2005,17,14
Riau Airlines,RIU,PK,RIAU AIR,Indonesia,2002,3,1
Tianjin Airlines,GCR,GS,BOHAI,China,2004,63,84
Vzlet,VZL,NB,VZLYET,,1972,,
Air Afrique,RKA,RK,AIRAFRIC,,1961,22,
Bluebird Airways,BBG,BZ,CANDIA BIRD,,,4,1
CM Airlines,OMT,CC,,,,,
Originair,OGN,OG,ORIGIN,,2015,3,2
Tiara Air,TNM,3P,TIARA,Aruba,2006,4,3
WaltAir,GOT,XW,GOTHIC,Sweden,,,
Air Åland,NVD,N9,NORVIND,,2005,3,2
Air Rarotonga,RAR,GZ,,,1978,,4
Bluebird Aviation,BBZ,,COBRA,,1999,,21
CMC Aviation,,,,,,,10
Enter Air,ENT,E4,ENTERAIR,,2009,74,17
Go Fly,GOE,GO,GO FLIGHT,,,,28
Jambojet,,JX,,,2013,7,4
LAN Colombia,ARE,4C,LAN COLOMBIA,Colombia,1981,31,19
Skytaxi,IGA,TE,IGUANA,,2000,,3
Tibet Airlines,TBA,TV,TIBET,,2010,23,15
Wamos Air,PLM,EB,PULLMANTUR,,2003,12,4
Air Regional,ARI,AR,AIREG,,2001,32,3
Arctic Air (Norway),AKR,,ARCTIC NORWAY,,,5,2
Envoy Air,ENY,MQ,ENVOY,,1998,160,223
Jämtlands Flyg,,,,,1954,,7
Skytraders,SND,,SNOWBIRD,,,,4
Tiger Airways,TGW,TR,GO CAT,Singapore,,36,20
Wan Air,VNR,,WAN AIR,,1987,,2
Air Algérie,DAH,AH,AIR ALGERIE,Algeria,1947,71,50
Air Republiq,,,REPUBLIQ,,,,
Arctic Circle Air,CIR,5F,AIR ARCTIC,United States,1973,9,2
BMI Regional,BMR,BM,MIDLAND,United Kingdom,1987,20,18
Janes Aviation,JAN,,JANES,,2006,,2
LAN Ecuador,LNE,XL,AEROLANE,Ecuador,2002,11,12
Midwest Airlines (Egypt),MWA,MY,MWA,,1998,,1
Rio Linhas Aéreas,RIO,RL,RIO,,2007,12,7
Skytrans Airlines,SKP,Q6,SKYTRANS,Australia,1990,27,2
Tigerair,TGW,TR,GO CAT,,2003,38,25
Warbelow's Air Ventures,WAV,,WARBELOW,,1958,12,17
Air Rhodesia,,RH,RHODESIA,,1967,,13
Arctic Sunwest Charters,,,ARCTIC SUNWEST,,1989,,
Coastal Aviation,CSV,,COASTAL TRAVEL,,1987,,20
Equaflight,EKA,E7,EQUAFLIGHT,,1998,3,5
Go!Express,,,,,2006,7,6
Janet (airline),WWW,,JANET,,1972,6,11
LAN Express,LXP,LU,LANEX,Chile,1998,19,12
Osh-Avia,OSH,,,,2006,2,
Tigerair Australia,TGW,TT,GO CAT,,,17,14
Arcus-Air,AZE,ZE,ARCUS AIR,,1973,,6
Cobham Aviation Services Australia,JTE,NC,JETEX,Australia,1989,,35
Go2Sky,RLX,,RELAX,,2013,,4
Japan Air Commuter,JAC,JC,COMMUTER,Japan,1983,22,22
LAN Perú,LPE,LP,LAN PERU,Peru,1998,32,31
Midwest Connect,,,,,1994,17,13
Overland Airways,OLA,OJ,OVERLAND,Nigeria,2003,8,8
Wasaya Airways,WSG,WT,WASAYA,Canada,1989,28,26
Arcus-Air Logistic,AZE,ZE,ARCUS AIR,Germany,,,4
Boliviana de Aviación,BOV,OB,BOLIVIANA,,2007,12,14
Equatorial Congo Airlines,,LC,,,2011,10,7
GoAir,GOW,G8,GO AIR,India,2005,22,19
LANCO,LAE,L7,LANCO,,2009,13,3
Mihin Lanka,MLR,MJ,MIHIN LANKA,Sri Lanka,2006,14,4
Rivne Universal Avia,UNR,,RIVNE UNIVERSAL,,,,13
Skyway Enterprises,SKZ,KI,SKYWAY-INC,United States,1981,,10
Tigerair Taiwan,TTW,IT,SMART CAT,,2013,8,7
Air Safaris (NZ airline),SRI,,AIRSAFARI,,,5,8
ArGo Airways,AGW,,ARGONAUT,,2009,4,1
Era Alaska,ERR,,ERAH,,2010,78,72
GoJet Airlines,GJS,G7,LINDBERGH,United States,2004,57,47
Rizon Jet,RZJ,,RIZON JET,,,,
Tigris Air,,,,,,,1
Air Saguenay,,,,,1960,,27
Aria (French airline),ARW,,ARIABIRD,,2004,,2
Gol Transportes Aéreos,GLO,G3,GOL,Brazil,2000,75,139
Japan Airlines,JAL,JL,JAPANAIR,Japan,1951,92,166
Millennium Airlines,DLK,,DECCAN LANKA,,2004,9,3
RMA Gold Airways,,,,,2004,,
Air Alsie,MMD,,MERMAID,,1989,,18
Air Saint-Pierre,SPM,PJ,SAINT-PIERRE,Saint Pierre and Miquelon,1964,7,2
Aria Air,IRX,,ARIA,,,10,2
Bond Offshore Helicopters,BND,,BOND,,1961,,25
Golden Air,GAO,DC,GOLDEN,Sweden,,14,21
Lao Air,LLL,,LAVIE,,,3,
Millennium Aviation,,,,,,,
P.C. Air,PCA,GT,PIYO AIR,,2010,,1
TimAir,,,,,1983,5,7
Waterfront Air,,,,,2008,4,
Ariana Afghan Airlines,AFG,FG,ARIANA,Afghanistan,1955,11,7
Bookajet,BOO,,BOOKAJET,,1991,,14
Eritrean Airlines,ERT,B8,ERITREAN,Eritrea,,5,3
Golden Bay Air,,,,,,,3
Lao Airlines,LAO,QV,LAO,Lao People's Democratic Republic,1976,20,11
Mimika Air,,,,,1998,,10
Skywest Airlines,OZW,XR,OZWEST,Australia,,24,23
Arik Air,ARA,W3,ARIK,Nigeria,2002,26,26
Borajet,BRJ,YB,BORA JET,,2008,22,8
Escadrille Nationale du Niger,,,,,,,1
Lao Central Airlines,LKA,LF,NAKLAO,,2010,8,3
Mindanao Express,,,,,,,
Pacific Air Express,PAQ,PE,SOLPAC,,1993,,1
SkyWest Airlines,SKW,OO,SKYWEST,United States,1972,189,341
Țiriac Air,TIH,,TIRIAC AIR,,1997,,4
WDL Aviation,WDL,W1,WDL,Germany,1974,,5
Borinquen Air,BNA,FD,,,1961,,2
Japan Transocean Air,JTA,NU,JAY OCEAN,Japan,1967,15,13
Lao Skyway,LLL,,LAVIE,,2002,3,
Skywise (airline),SWZ,S8,SKYWISE,,2012,2,2
Titan Airways,AWC,ZT,ZAP,United Kingdom,1988,,11
Air Anglia,,AQ,,,,,
Air Scandic,SCY,,AIRSCAN,,,,
Comair (South Africa),CAW,MN,COMAIR,,1943,10,18
Golden Myanmar Airlines,GMR,Y5,GOLDEN MYANMAR,,2012,15,4
SkyWork Airlines,SRK,SX,SKYFOX,,1983,18,5
Welcome Air,WLC,2W,WELCOMEAIR,Austria,2000,8,3
Air Antilles Express,GUY,,GREEN BIRD,,2002,8,8
Arizona Airways (1993,AZY,VZ,ARIZAIR,,,11,
Comco,,,,,2002,,2
Estafeta Carga Aérea,ESF,E7,ESTAFETA,Mexico,2000,,7
Pacific Alaska Airways,,,,,1932,,
Roraima Airways,ROR,,RORAIMA,,1992,,3
Skyxpress Airline,KLO,,KLONDIKE,,,,2
TMK Air Commuter,TMK,,,,,5,1
Air Arabia,ABY,G9,ARABIA,United Arab Emirates,2003,115,44
Arkaim (airline),,,,,2010,,
Comlux,CLA,,COMLUX,,2003,,22
Estar Avia,UMS,,TOPAZ,,2003,,3
Jat Airways AVIO taxi,JAT,JU,JAT,,2002,,21
Lapsa,,,,,,,
Minoan Air,MAV,,MINOAN,,2011,5,2
Pacific American Airlines,,,,,,,
TNT Airways,TAY,3V,QUALITY,Belgium,1999,90,32
West Air,PCM,,PAC VALLEY,,,22,32
Air Arabia Egypt,RBG,E5,ARABIA EGYPT,,2009,7,3
Air Senok,MVS,,AIR SENOK,,2011,,3
Arkia Israel Airlines,AIZ,IZ,ARKIA,Israel,1949,25,9
Estonian Air,ELL,OV,ESTONIAN,Estonia,1991,14,7
Golden Rule Airlines,GRS,,GOLDEN RULE,,2003,,3
Jatayu Airlines,JTY,JZ,JATAYU,,2000,10,3
LASER Airlines,LER,QL,LASER,Venezuela; Bolivarian Republic of,1993,7,16
Pacific Coast Jet,PXT,,PACK COAST,,2006,,
Rossair (Australia),RFS,,,,1963,,5
Slok Air International,OKS,S0,SLOK GAMBIA,,1996,8,6
West Air (China),CHB,PN,WEST CHINA,China,2007,20,19
Air Arabia Jordan,PTR,,AIR ARABIA JORDAN,,2014,5,2
Air Serbia,ASL,JU,AIR SERBIA,,1992,41,20
Jazeera Airways,JZR,J9,JAZEERA,Kuwait,,20,15
Pacific Coastal Airlines,PCO,8P,PASCO,Canada,1987,16,25
Rossair Europe,ROS,,CATCHER,,,,
West Air (United States),PCM,,PAC VALLEY,,1988,22,32
Air Arabia Maroc,MAC,,NAWRAS,,,23,4
Air Serv International,,,,,1984,,
Comlux Kazakhstan,KAZ,,KAZLUX,,,,4
Ethiopian Airlines,ETH,ET,ETHIOPIAN,Ethiopia,,23,76
Jazz (airline),JZA,QK,JAZZ,Canada,2001,79,127
Tobruk Air,TOB,7T,TOBRUK AIR,Libyan Arab Jamahiriya,,,
West Air Luxembourg,WLX,,WEST LUX,,2002,,1
Air Armenia,ARR,QN,AIR ARMENIA,Armenia,2003,10,1
Air Service Gabon,AGB,X7,,Gabon,1965,,5
Armenian International Airways,RML,MV,ARMENIA,,2002,,1
Boutique Air,BTQ,,BOUTIQUE,,,10,
Etihad Airways,ETD,EY,ETIHAD,United Arab Emirates,2003,120,122
Gorkha Airlines,IKA,G1,GORKHA AIRLINES,,1996,10,2
Jeju Air,JJA,7C,JEJU AIR,Korea; Republic of,2005,14,20
Mistral Air,MSA,7M,MISTRAL,,1981,5,10
Rossiya (airline),SDM,FV,RUSSIA,Russian Federation,1934,58,27
Slovak Government Flying Service,SSG,,SLOVAK GOVERNMENT,,1993,,3
Tofino Air,,,TOFINO AIR,,1990,2,8
West Air Sweden,SWN,PT,AIR SWEDEN,Sweden,1955,,18
Command Airways (South Africa),CAH,CT,COMMAND,,1977,6,7
Rotana Jet,RJD,RG,ROTANA,,2010,14,5
Slovakian Airlines,SVL,,SLOVAKIAN,,2011,,1
Toll Aviation,TFX,,TOLL EXPRESS,,,,13
West Atlantic,,,,,2011,,46
Air Astana,KZR,KC,ASTANALINE,Kazakhstan,2001,56,30
Air Seychelles,SEY,HM,SEYCHELLES,Seychelles,1977,10,11
BRA Transportes Aéreos,BRB,B7,BRA-TRANSPAEREOS,,1999,,0
Community Express Airlines,UNI,,,,1993,6,4
Grafair,,,GRAFAIR,,1969,,9
MJET,MJF,,EM-EXPRESS,,2007,,13
Pacific Island Air,,,,,1999,,9
Rovos Air,VOS,,ROVOS,,2002,,2
Slovenian Spirit,STY,Z2,SLOVENIAN,,2003,11,5
Toll Global Express,TFX,,TOLL EXPRESS,,1989,,12
Air Siam,,VG,,,1965,,
ARP 410 Airlines,URP,,AIR-ARP,,1999,,19
CommutAir,UCA,C5,COMMUTAIR,United States,1989,30,22
Layang Layang Aerospace,LAY,,LAYANG,,1995,,
Royal Air,RYL,,,,,,1
Small Planet Airlines,LLC,S5,SMALL PLANET,,,40,18
Air Sinai,ASD,4D,AIR SINAI,Egypt,1982,1,1
ARPA,PAY,A8,ARPA,,,,
Grand Aire Express,GAE,,GRAND EXPRESS,,1985,,
Jet Airways,JAI,9W,JET AIRWAYS,India,1992,73,116
LC Perú,LCB,W4,BUSRE,,1993,10,8
Pacific Pearl Airways,PPM,,PACIFIC PEARL,,2006,4,2
West Coast Air,YWZ,,COAST AIR,,,7,3
Braathens Regional,BRX,DC,BRAATHENS,,1976,,17
Comores Air Services,,,,,,,2
Grand Canyon Airlines,CVU,YR,CANYON VIEW,United States,1927,4,19
Lease Corporation International,LCI,,,,2004,,15
Royal Air Cambodge,RAC,VJ,AIR CAMBODGE,,1956,13,7
Small Planet Airlines (Poland),LLP,P7,SKYPOL,,2009,,9
Air Atlanta Icelandic,ABD,CC,ATLANTA,Iceland,1986,,17
Aruba Airlines,ARU,AG,ARUBA,,2010,4,3
Comores Aviation International,KMZ,O5,COMORES AVIATION INTERNATIONAL,Comoros,1996,7,6
Euro-Asia Air,EAK,5B,EAKAZ,Kazakhstan,,,7
Grand China Air,GDC,CN,GRAND CHINA,,2007,,3
Jet Asia Airways,JAA,JF,JET ASIA,,2009,20,6
Lebanese Air Transport,LAQ,LQ,LAT,,,,
MNG Airlines,MNB,MB,BLACK SEA,Turkey,1996,13,8
Royal Air Freight,RAX,,AIR ROYAL,,1961,,22
Smart Aviation Company,SME,M4,SMART AVIATION,,2007,,6
Air Atlantic,ATL,,,,1985,25,
Air Somalia,RSM,,AIR SOMALIA,,2001,,
Comoro Islands Airline,CIN,,VANILLA,,2008,,1
EuroAtlantic Airways,MMZ,YU,EUROATLANTIC,,1993,2,9
Moçambique Expresso,MXE,,MOZAMBIQUE EXPRESS,,1995,,7
Pacific Sun,FJA,FJ,PAC SUN,,,12,5
Smart Wings,TVS,QS,SKYTRAVEL,Czech Republic,,46,20
Tortug' Air,,,TORTUG AIR,,2003,8,3
West Wind Aviation,WEW,,WESTWIND,,1983,2,28
Air Atlantique,AAG,7M,ATLANTIC,United Kingdom,1969,,
As at liquidation 1 Fokker 100 aircraft,,,,,,,
Braniff International Airways,BNF,BN,BRANIFF,,,54,82
Compagnie Africaine d'Aviation,FPY,BU,AFRICO,Congo; the Democratic Republic of the,1991,21,7
Jet Aviation,PJS,PP,JETAVIATION,Switzerland,1967,,200
Legendary Air,LEG,GB,LEGENDARY,,2015,1,1
Royal Air Maroc,RAM,AT,ROYAL AIR MAROC,Morocco,,94,53
SmartLynx Airlines,ART,,SMART LYNX,,1992,,11
Total Linhas Aéreas,TTL,,TOTAL,,1988,11,10
Westair Benin,,WH,,,2002,11,3
ASACO,,,,,,,1
Branson Air Express,,,,,2010,,
Grant Aviation,GUN,GV,HOOT,United States,,,30
Jet Executive,JEI,,JET EXECUTIVE,,,,6
Pacific Wings,NMI,LW,TSUNAMI,United States,1974,5,8
Royal Air Maroc Express,RXP,,EXPRESS MAROC,,2009,18,5
Smartlynx Airlines Estonia,MYX,,TALLINN CAT,,2012,,8
Toumaï Air Tchad,THE,9D,TOUMAI AIR,Chad,2004,16,1
Aserca Airlines,OCA,R7,ASERCA,Venezuela; Bolivarian Republic of,1968,11,24
Great Lakes Airlines,GLA,ZK,LAKES AIR,United States,,21,28
Jet Express,VXG,G2,AVIREX-GABON,Gabon,1989,,3
Pacificair,,GX,,,1947,,4
Royal Airlines,RPK,R0,ROYAL PAKISTAN,Pakistan,1998,,3
Western Air,WST,WT,WESTERN,,2001,9,15
Asia Airways,ASW,,ASIAWAYS,,,,5
Jet Time,JTG,JO,JETTIME,,2006,53,28
Lesotho Airways,LAI,QL,LESOTOAIR,,1979,16,4
Mokulele Airlines,MKL,MW,MOKULELE,United States,1994,9,15
Royal Aruban Airlines,RYL,V5,ROYAL ARUBAN,,,,
Trade Air,TDR,,TRADE AIR,,1994,,3
Air Austral,REU,UU,REUNION,Réunion,1975,13,8
Asia Atlantic Airlines,AAQ,HB,ASIA ATLANTIC,,2012,2,2
Brava Linhas Aéreas,NHG,N7,HELGA,,2006,9,3
Great Lakes Business Company,,,,,,,
Jet2.com,EXS,LS,CHANNEX,United Kingdom,2002,58,58
Moldavian Airlines,MDV,2M,MOLDAVIAN,Moldova; Republic of,1994,2,1
SNAS Aviation,RSE,,RED SEA,,,,5
Tradewind Aviation,GPD,TJ,GOODSPEED,,2001,10,16
Compass Airlines (North America),CPZ,CP,COMPASS,United States,2006,50,48
Jet-2000,JTT,,MOSCOW JET,,1999,,
LIAT,LIA,LI,LIAT,Antigua and Barbuda,1956,17,12
Mombasa Air Safari,RRV,,SKYROVER,,1985,,2
Pakistan International Airlines,PIA,PK,PAKISTAN,Pakistan,,67,37
Royal Bengal Airline,RRY,,ROYAL BENGAL,,2006,4,1
Snowbird Airlines,SBW,,SNOWMAN,,,7,
Tradewinds Airlines,TDX,WI,TRADEWINDS EXPRESS,United States,,,8
WestJet,WJA,WS,WESTJET,Canada,1996,90,140
Air Bagan,JAB,W9,AIR BAGAN,Myanmar,2004,20,8
Comtel Air,COE,,COMTEL AIR,,,4,2
Eurojet Italia,ERJ,,JET ITALIA,,,,
Liberia Airways,LBA,,LIBERIA AIRWAYS,,,,
Monacair,,,,,1988,,5
PAL Airlines,PCP,,PRINCIPAL,,,6,5
Royal Brunei Airlines,RBA,BI,BRUNEI,Brunei Darussalam,,16,10
WestJet Encore,WEN,WR,ENCORE,,2013,32,22
Eurojet Romania,RDP,,JET-ARROW,,2004,,4
Green Flag Airlines,GRF,,GREEN FLAG AIR,,,,13
Liberty Jet Management,,,,,,,
Monarch Airlines,MON,ZB,MONARCH,United Kingdom,1967,43,35
PAL Express,GAP,,AIRPHIL,,1995,32,22
Royal Daisy Airlines,KDR,6D,DARLINES,Uganda,2005,2,1
Trans Air Benin,TNB,N4,TRANS-BENIN,Benin,2000,,
Weststar Aviation (Malaysia),,,,,2003,,
Air Sunshine,RSI,YI,AIR SUNSHINE,United States,1982,10,3
Asia Pacific Airlines (United States),MGE,P9,MAGELLAN,,1998,9,4
Bridge Airlines,BGE,,BRIDGE AIR,,,,
Condor Flugdienst,CFG,DE,CONDOR,Germany,1955,91,42
Eurolot,ELO,K2,EUROLOT,Poland,,15,15
TUI Fly Belgium,JAF,TB,BEAUTY,Belgium,2003,105,27
Libyan Airlines,LAA,LN,LIBYAN,Libyan Arab Jamahiriya,,22,8
Royal Falcon,RFJ,RL,,,2007,8,2
Trans Air Congo,TSG,Q8,TRANS-CONGO,Congo; the Democratic Republic of the,1994,5,7
Westward Airways (United Kingdom),,,,,,,4
Greenland Express,DNM,J7,DENIM,,2013,5,2
Jetalliance,JAG,,JETALLIANCE,,1996,,14
Royal Flight (airline),ABG,,ABAKAN-AVIA,,2014,,5
Trans Anguilla Airways,,,,,,21,
White Airways,WHT,WI,WHITE JET,,2005,27,9
Air Bee,OBE,BM,AIRBEE,,2007,8,5
Asian Express Airline (Tajikistan),TXP,KV,,,2011,5,3
Bristow Helicopters,BHL,,BRISTOW,United Kingdom,1953,,490
Gregg Air,OXE,,OXOE,,,,
Líder Aviação,,,LID,,1958,,
Mongolian Airlines,MML,MR,,,,10,4
Royal Jet,ROJ,,ROYALJET,,2003,,11
Air Sylhet,SHR,SL,SYLHET,,2007,,1
Asian Wings Airways,AWM,YJ,ASIAN STAR,,2011,14,4
Bristow Norway,BHL,,BRISTOW,,1993,,20
European 2000 Airlines,EUT,,FIESTA,,2005,,2
Grenadine Airways,,,,,,,
JetBlue,JBU,B6,JETBLUE,,,97,211
Palau Pacific Airways,,,PPA,,2014,1,1
Royal Jordanian,RJA,RJ,JORDANIAN,Jordan,1963,60,26
Sol América,ESC,,SOLAMERICA,,1980,4,2
Trans Guyana Airways,TGY,,TRANS GUYANA,,1951,,8
Whitejets,WTJ,W7,WHITEJET,,2010,,0
Air Berlin,BER,AB,AIR BERLIN,Germany,1978,92,127
Air Tahiti,VTA,VT,AIR TAHITI,French Polynesia,1987,48,9
Asiana Airlines,AAR,OZ,ASIANA,Korea; Republic of,,108,85
Brit Air,BZH,DB,BRITAIR,France,1973,32,39
JetBlue Airways,JBU,B6,JETBLUE,United States,,71,172
Lignes Aérienne Seychelles,,,,,1986,,1
Montenegro Airlines,MGX,YM,MONTENEGRO,Montenegro,1994,19,6
Widerøe,WIF,WF,WIDEROE,Norway,1934,47,42
Air Bishkek,EAA,KR,EASTOK,,2004,10,1
Air Tahiti Nui,THT,TN,TAHITI AIRLINES,French Polynesia,,5,5
Askari Aviation,AAS,,AL-AAS,,1995,,16
Griffing Flying Service,,,,,,,
